Jugador,Veces_en_All-Star,Temporadas
Kareem Abdul-Jabbar,19,Entre 1970 y 1989
LeBron James,19,Entre 2005 y 2023
Kobe Bryant,18,Entre 1998 y 2016
Tim Duncan,15,Entre 1998 y 2015
Kevin Garnett,15,Entre 1997 y 2013
Shaquille O'Neal,15,Entre 1993 y 2009
Michael Jordan,14,Entre 1985 y 2003
Karl Malone,14,Entre 1988 y 2002
Dirk Nowitzki,14,Entre 2002 y 2019
Jerry West,14,Entre 1961 y 1974
Wilt Chamberlain,13,Entre 1960 y 1973
Bob Cousy,13,Entre 1951 y 1963
Kevin Durant,13,Entre 2010 y 2023
John Havlicek,13,Entre 1966 y 1978
Dwyane Wade,13,Entre 2005 y 2019
Larry Bird,12,Entre 1980 y 1992
Elvin Hayes,12,Entre 1969 y 1980
Magic Johnson,12,Entre 1980 y 1992
Moses Malone,12,Entre 1978 y 1989
Hakeem Olajuwon,12,Entre 1985 y 1997
Chris Paul,12,Entre 2008 y 2022
Oscar Robertson,12,Entre 1961 y 1972
Bill Russell,12,Entre 1958 y 1969
Dolph Schayes,12,Entre 1951 y 1962
Isiah Thomas,12,Entre 1982 y 1993
Charles Barkley,11,Entre 1987 y 1997
Elgin Baylor,11,Entre 1959 y 1970
Chris Bosh,11,Entre 2006 y 2016
Julius Erving,11,Entre 1977 y 1987
Patrick Ewing,11,Entre 1986 y 1997
Allen Iverson,11,Entre 2000 y 2010
Bob Pettit,11,Entre 1955 y 1965
Ray Allen,10,Entre 2000 y 2011
Carmelo Anthony,10,Entre 2007 y 2017
Paul Arizin,10,Entre 1951 y 1962
Clyde Drexler,10,Entre 1986 y 1997
Hal Greer,10,Entre 1961 y 1970
James Harden,10,Entre 2013 y 2022
Jason Kidd,10,Entre 1996 y 2010
Paul Pierce,10,Entre 2002 y 2012
David Robinson,10,Entre 1990 y 2001
John Stockton,10,Entre 1989 y 2000
Stephen Curry,9,Entre 2014 y 2023
George Gervin,9,Entre 1977 y 1985
Robert Parish,9,Entre 1981 y 1991
Gary Payton,9,Entre 1994 y 2003
Russell Westbrook,9,Entre 2011 y 2020
Lenny Wilkens,9,Entre 1963 y 1973
Dominique Wilkins,9,Entre 1986 y 1994
Rick Barry,8,Entre 1966 y 1978
Vince Carter,8,Entre 2000 y 2007
Anthony Davis,8,Entre 2014 y 2021
Dave DeBusschere,8,Entre 1966 y 1974
Alex English,8,Entre 1982 y 1989
Larry Foust,8,Entre 1951 y 1959
